Time,Treatments,dSpecies_1_dt,dSpecies_2_dt,dSpecies_3_dt,dSpecies_4_dt,dSpecies_5_dt,dSpecies_6_dt
0.0,sp_6,0.0,0.0,0.0,0.0,0.0,0.011363558
2.6666667,sp_6,0.0,0.0,0.0,0.0,0.0,0.048903525
5.3333335,sp_6,0.0,0.0,0.0,0.0,0.0,0.167601
8.0,sp_6,0.0,0.0,0.0,-0.0,0.0,0.2875749
10.666667,sp_6,0.0,0.0,0.0,-0.0,0.0,0.16891916
13.333333,sp_6,0.0,0.0,0.0,-0.0,0.0,0.04944813
16.0,sp_6,0.0,0.0,0.0,-0.0,0.0,0.0114996135
18.666666,sp_6,0.0,0.0,0.0,-0.0,0.0,0.0025287138
21.333334,sp_6,0.0,0.0,0.0,-0.0,0.0,0.0005490564
24.0,sp_6,0.0,0.0,0.0,-0.0,0.0,0.000118978875
0.0,sp_1_2_4_5_6,0.0034243579,0.0022355504,0.0,0.0016881686,0.0034824803,0.0021830474
2.6666667,sp_1_2_4_5_6,0.027305152,0.0061571845,0.0,0.004651072,0.031480968,0.005536744
5.3333335,sp_1_2_4_5_6,0.066248395,-0.0018337063,0.0,0.009102646,0.1405199,-0.0016820203
8.0,sp_1_2_4_5_6,0.020242902,-0.0037934172,0.0,0.0141024375,0.070378326,-0.0036389832
10.666667,sp_1_2_4_5_6,0.02373355,-0.001669741,0.0,0.023428392,-0.0026931332,-0.0019547206
13.333333,sp_1_2_4_5_6,0.045750413,-0.00068284414,-0.0,0.03727465,-0.011691458,-0.00087272475
16.0,sp_1_2_4_5_6,0.055913348,-0.00033497115,-0.0,0.05090485,-0.0094958395,-0.00026109087
18.666666,sp_1_2_4_5_6,0.03957152,-0.00023008804,-0.0,0.055336576,-0.006717632,-4.9310693e-05
21.333334,sp_1_2_4_5_6,0.017285453,-0.00018217313,-0.0,0.04687078,-0.004886242,-6.7640094e-06
24.0,sp_1_2_4_5_6,0.005286966,-0.00013676034,-0.0,0.032146562,-0.0033889608,-7.855894e-07
0.0,sp_1,0.017213412,0.0,0.0,0.0,0.0,0.0
2.6666667,sp_1,0.14665218,0.0,0.0,0.0,0.0,-0.0
5.3333335,sp_1,0.43249106,0.0,0.0,0.0,0.0,-0.0
8.0,sp_1,0.13591367,0.0,0.0,0.0,0.0,-0.0
10.666667,sp_1,0.015718076,0.0,0.0,0.0,0.0,-0.0
